1788181048.164928,1.00080216e+01
1788181048.2149222,1.00080222e+01
1788181048.2649217,1.00080228e+01
1788181048.3149061,1.00080214e+01
1788181048.3649073,1.00080217e+01
1788181048.4149158,1.00080228e+01
1788181048.4649363,1.00080225e+01
1788181048.5149267,1.00080217e+01
1788181048.564905,1.00080217e+01
1788181048.6149251,1.00080229e+01
1788181048.66493,1.00080211e+01
1788181048.714924,1.00080229e+01
1788181048.764915,1.00080223e+01
1788181048.814921,1.00080229e+01
1788181048.8647983,1.00080228e+01
1788181048.9147952,1.00080219e+01
1788181048.9648018,1.00080229e+01
1788181049.0148087,1.00080245e+01
1788181049.0648208,1.00080229e+01
1788181049.1148088,1.00080216e+01
1788181049.1648123,1.00080229e+01
1788181049.214786,1.00080207e+01
1788181049.2648137,1.00080236e+01
1788181049.314802,1.00080225e+01
1788181049.3648,1.00080225e+01
1788181049.4148088,1.00080207e+01
1788181049.4648135,1.00080217e+01
1788181049.5148067,1.00080225e+01
1788181049.5647883,1.00080211e+01
1788181049.6147888,1.00080223e+01
1788181049.6648412,1.00080217e+01
1788181049.714808,1.00080203e+01
1788181049.7648175,1.00080223e+01
1788181049.8148005,1.00080222e+01
1788181049.864818,1.00080222e+01
1788181049.9147978,1.00080217e+01
1788181049.9648008,1.00080222e+01
1788181050.014805,1.00080217e+01
1788181050.064829,1.00080226e+01
1788181050.1147814,1.00080228e+01
1788181050.1648183,1.00080226e+01
1788181050.21483,1.00080225e+01
1788181050.2648325,1.00080213e+01
1788181050.314799,1.00080233e+01
1788181050.3647912,1.00080214e+01
1788181050.414809,1.00080222e+01
1788181050.4648073,1.00080216e+01
1788181050.5147986,1.00080225e+01
1788181050.564798,1.00080214e+01
1788181050.6147852,1.00080219e+01
1788181050.6648166,1.00080220e+01
1788181050.714815,1.00080226e+01
1788181050.7648187,1.00080225e+01
1788181050.8147917,1.00080216e+01
1788181050.8648136,1.00080230e+01
1788181050.914803,1.00080220e+01
1788181050.9647837,1.00080216e+01
1788181051.014814,1.00080222e+01
1788181051.064802,1.00080216e+01
1788181051.1148016,1.00080222e+01
1788181051.1647983,1.00080220e+01
1788181051.2148104,1.00080213e+01
1788181051.2647998,1.00080228e+01
1788181051.3147814,1.00080228e+01
1788181051.3648038,1.00080217e+01
1788181051.4148178,1.00080220e+01
1788181051.464819,1.00080214e+01
1788181051.5148165,1.00080229e+01
1788181051.5647943,1.00080208e+01
1788181051.614801,1.00080229e+01
1788181051.664826,1.00080225e+01
1788181051.7148316,1.00080216e+01
1788181051.7648726,1.00080236e+01
1788181051.814899,1.00080219e+01
1788181051.864876,1.00080229e+01
1788181051.9148595,1.00080219e+01
1788181051.9648826,1.00080213e+01
1788181052.0148573,1.00080228e+01
1788181052.06489,1.00080233e+01
1788181052.114877,1.00080230e+01
1788181052.1648688,1.00080223e+01
1788181052.2148592,1.00080214e+01
1788181052.2648702,1.00080220e+01
1788181052.3148546,1.00080232e+01
1788181052.3648703,1.00080220e+01
1788181052.4148734,1.00080220e+01
1788181052.4648566,1.00080233e+01
1788181052.5148335,1.00080225e+01
1788181052.5648165,1.00080222e+01
1788181052.6149023,1.00080222e+01
1788181052.6649036,1.00080220e+01
1788181052.714843,1.00080219e+01
1788181052.7648392,1.00080223e+01
1788181052.81486,1.00080220e+01
1788181052.8648849,1.00080225e+01
1788181052.9148617,1.00080223e+01
1788181052.9648423,1.00080219e+01
1788181053.014868,1.00080223e+01
1788181053.0648925,1.00080223e+01
1788181053.1148837,1.00080222e+01
1788181053.1648583,1.00080219e+01
1788181053.2148964,1.00080226e+01
1788181053.2648695,1.00080220e+01
1788181053.3148403,1.00080229e+01
1788181053.3648875,1.00080210e+01
1788181053.414846,1.00080216e+01
1788181053.464871,1.00080225e+01
1788181053.5148985,1.00080226e+01
1788181053.5648084,1.00080207e+01
1788181053.6148055,1.00080230e+01
1788181053.6648314,1.00080226e+01
1788181053.7148137,1.00080214e+01
1788181053.7647905,1.00080228e+01
1788181053.814788,1.00080219e+01
1788181053.8648787,1.00080225e+01
1788181053.9148464,1.00080217e+01
1788181053.964833,1.00080220e+01
1788181054.0148265,1.00080233e+01
1788181054.0648444,1.00080220e+01
1788181054.1148217,1.00080232e+01
1788181054.1648207,1.00080230e+01
1788181054.214862,1.00080220e+01
1788181054.2648256,1.00080220e+01
1788181054.3148503,1.00080210e+01
1788181054.36486,1.00080220e+01
1788181054.4148324,1.00080211e+01
1788181054.4648366,1.00080235e+01
1788181054.5148208,1.00080226e+01
1788181054.5648005,1.00080216e+01
1788181054.6148162,1.00080226e+01
1788181054.6648223,1.00080223e+01
1788181054.7147875,1.00080219e+01
1788181054.7648268,1.00080225e+01
1788181054.814801,1.00080220e+01
1788181054.8648107,1.00080214e+01
1788181054.914801,1.00080220e+01
1788181054.9647787,1.00080228e+01
1788181055.0148172,1.00080217e+01
1788181055.0648103,1.00080233e+01
1788181055.1148355,1.00080228e+01
1788181055.1648755,1.00080208e+01
1788181055.214848,1.00080211e+01
1788181055.264896,1.00080216e+01
