"Time","CAL? 72 3458A","CAL? 175 3458A"
1648868114000,0.9915912,38.2427795
1648871719000,0.99159118,38.1489618
1648875326000,0.99159124,undefined
1648875327000,undefined,38.0340251
1648878932000,0.99159126,undefined
1648878933000,undefined,37.9414233
1648882537000,0.99159124,undefined
1648882538000,undefined,37.815394
1648941326000,0.99159123,undefined
1648941327000,undefined,37.9555988
1648944932000,0.99159128,37.9465451
1648948538000,0.9915913,38.1000222
1648952143000,0.99159138,37.9741477
1648955748000,0.99159132,37.8620819
1648959354000,0.99159131,37.7748218
1648962960000,0.99159131,37.7160001
1648966565000,0.99159138,37.6518981
1649027675000,0.99159143,39.0483166
1649031281000,0.99159147,39.164085
1649034887000,0.9915914,39.0747888
1649038492000,0.99159139,38.9514841
1649042097000,0.99159137,38.8690494
1649045702000,0.99159138,38.7614348
1649049307000,0.99159133,38.7582637
1649052912000,0.99159137,38.6030514
1649056517000,0.99159134,undefined
1649056518000,undefined,38.2421869
1649060122000,0.99159143,undefined
1649060123000,undefined,38.5241751
1649063727000,0.99159137,undefined
1649063728000,undefined,38.5776372
1649067332000,0.99159137,undefined
1649067333000,undefined,38.683375
1649070938000,0.99159141,undefined
1649070939000,undefined,38.9559332
1649074544000,0.99159148,38.9486237
1649078149000,0.99159143,39.2471966
1649081754000,0.99159145,39.4005168
1649085359000,0.99159145,39.5191512
1649113749000,0.99159156,undefined
1649113750000,undefined,39.1781156
1649117354000,0.99159156,undefined
1649117355000,undefined,38.8069177
1649120961000,0.99159156,undefined
1649120962000,undefined,38.4713134
1649124566000,0.99159159,undefined
1649124567000,undefined,38.1636092
1649128172000,0.99159179,37.9658786
1649131778000,0.99159173,37.7492738
1649135383000,0.99159169,37.566234
1649201556000,0.99159182,undefined
1649201557000,undefined,39.6687162
1649205162000,0.99159186,undefined
1649205163000,undefined,39.3426114
1649208768000,0.99159185,undefined
1649208769000,undefined,39.0864963
1649212374000,0.9915918,38.8582795
1649215979000,0.99159186,38.629694
1649219584000,0.99159182,38.455486
1649223191000,0.99159187,38.3539757
1649226796000,0.99159191,38.6519455
1649230401000,0.99159189,39.094865
1649289677000,0.99159192,39.6532619
1649293283000,0.99159184,39.4538481
1649296889000,0.99159177,39.2038441
1649300494000,0.99159184,38.991465
1649304099000,0.99159188,38.8662849
1649307704000,0.99159188,undefined
1649307705000,undefined,38.7521741
1649364854000,0.99159222,39.9455175
1649368460000,0.99159238,39.9027541
1649372065000,0.99159237,39.4505526
1649375670000,0.99159234,39.0814701
1649379275000,0.99159237,38.7515898
1649382880000,0.9915924,38.4173397
1649386486000,0.99159235,38.15346
1649390092000,0.99159228,37.925923
1649393697000,0.99159242,37.6947755
1649397302000,0.99159239,37.7398735
1649491971000,0.99159235,39.0927039
1649495577000,0.99159245,39.6234945
1649499180000,0.99159242,39.9333085
1649502780000,0.99159243,40.160991
1649506380000,0.99159244,40.3797015
1649509987000,0.99159242,40.2972631
1649513590000,0.9915925,40.1898712
1649517190000,0.99159239,39.1629862
1649520790000,0.99159245,39.5553199
1649524397000,0.99159254,39.8541179
1649528000000,0.99159248,39.9467312
1649531600000,0.99159244,39.792957
1649535200000,0.99159247,39.7040356
1649538807000,0.99159246,39.6662577
1649542409000,0.99159245,39.6573545
1649546010000,0.99159245,39.4637557
1649549610000,0.99159254,39.3615678
1649553217000,0.99159245,39.256514
1649556819000,0.99159249,39.1511593
1649560420000,0.99159254,39.0775494
1649564020000,0.99159254,38.9848636
1649567628000,0.99159249,38.9076285
1649571230000,0.99159254,38.8298752
1649574830000,0.99159259,38.2414023
1649579945000,0.99159265,39.0449756
1649583551000,0.99159262,39.3961133
1649587154000,0.99159264,39.6149772
1649590754000,0.99159257,39.6713865
1649594354000,0.99159258,39.6490628
1649597961000,0.99159261,39.8646055
1649601564000,0.99159263,39.9161963
1649605164000,0.99159261,39.9749385
1649608764000,0.99159266,39.9047998
1649612371000,0.99159264,39.6352685
1649615974000,0.99159265,39.6275011
1649619574000,0.99159263,39.6093211
1649623174000,0.99159267,39.7384304
1649626781000,0.9915926,39.844994
1649630383000,0.99159263,39.8265204
1649633984000,0.99159269,39.4305062
1649637584000,0.99159263,39.585637
1649641191000,0.99159263,39.6175449
1649644793000,0.99159257,39.5920454
1649648394000,0.99159264,39.5664102
1649651994000,0.99159254,39.3362319
1649655601000,0.99159262,39.107718
1649659203000,0.99159265,39.0127717
1649662803000,0.99159263,39.3381212
1649666403000,0.99159279,39.4369182
1649671952000,0.99159275,39.6885846
1649675558000,0.99159276,39.9695187
1649679161000,0.99159268,39.9272778
