Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.63341730517199,-9.633514233,-9.633436459,-9.63343084,-9.6334772552,-9.6337617948,-9.6334902348,-9.6334353094,-9.63342113,23.1094
-8.580785726224622,-8.5808744142,-8.580803217200001,-8.5807987744,-8.5808462194,-8.581093578199999,-8.5808588754,-8.5808026002,-8.580791054,23.0781
-7.528154147277254,-7.5282339006,-7.5281695592,-7.5281652038,-7.5282149795999995,-7.528423712600001,-7.5282256766,-7.5281688278,-7.528157434,23.1406
-6.475522568329885,-6.4755946328,-6.4755362768,-6.4755327978,-6.4755844362,-6.475755039199999,-6.4755946308,-6.4755363432,-6.4755247780000005,23.1719
-5.422890989382517,-5.4229533538,-5.422901974799999,-5.422898599,-5.422952238,-5.4230852406,-5.422960881000001,-5.4229010258,-5.4228912099999995,23.1484
-4.370259410435149,-4.370312816599999,-4.3702680854,-4.3702652448,-4.3703210132,-4.3704151832,-4.370328444,-4.3702676594,-4.370259354,23.125
-3.3176278314877803,-3.3176731854,-3.3176349988,-3.3176333926,-3.3176905904,-3.3177469228,-3.3176966982,-3.3176346956,-3.317628664,23.1406
-2.264996252540412,-2.2650322698,-2.2650007556,-2.2649995553999998,-2.2650588524,-2.2650773686,-2.2650637716,-2.2650008269999997,-2.264997692,23.125
-1.212364673593044,-1.2123926214,-1.2123680350000001,-1.2123672885999999,-1.2124285214,-1.2124088901999999,-1.2124325558,-1.212368506,-1.212367144,23.0938
-0.15973309464567575,-0.15975054748,-0.15973302715999999,-0.15973294468,-0.15979609592,-0.15973861464,-0.15979831698000002,-0.15973323511999998,-0.1597356418,23.0781
0.8928984843016924,0.8928918604,0.8929026427200001,0.8929023057000001,0.8928366275600002,0.8929327284599999,0.8928353623399999,0.8929020532599999,0.8928963556,23.0859
1.9455300632490604,1.9455317996,1.9455354834,1.9455347268,1.9454669734,1.9456014832,1.945467076,1.9455348881999999,1.9455263040000002,23.1328
2.9981616421964303,2.9981726212,2.9981691583999996,2.9981683094,2.998098101,2.998270831,2.9981000786,2.9981680736000005,2.9981581879999997,23.1328
4.050793221143799,4.0508120264,4.0508015128,4.0508004516,4.0507279302,4.050939347,4.0507313824,4.0508011304,4.050789121999999,23.1016
5.103424800091167,5.1034533848,5.103435773999999,5.1034343836,5.1033595062,5.103608921799999,5.1033646134,5.103435104399999,5.10342165,23.1328
6.156056379038535,6.1560933386,6.1560689338,6.1560662624,6.1559893502000005,6.156278133200001,6.1559964882,6.1560681964,6.156051529999999,23.1406
7.208687957985903,7.208734517599999,7.2087028786000005,7.208700339600001,7.208620610600001,7.2089470854,7.2086294676,7.208701895800001,7.208685690000001,23.1563
8.261319536933273,8.2613749142,8.261336828800001,8.2613332942,8.2612509678,8.261617082,8.2612624086,8.2613355954,8.261316946,23.1328
9.31395111588064,9.3140148594,9.3139695728,9.3139659162,9.3138814582,9.314284606200001,9.313894037,9.313968071,9.313948550000001,23.1016
10.36658269482801,10.36665621,10.366604352,10.366599782000002,10.366513168,10.366955444,10.36652714,10.366602568,10.3665769,23.1172
