Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-10.078166146888599,-10.078265562,-10.078185584,-10.07818033,-10.078225322000002,-10.078526082,-10.078238656,-10.078185261999998,-10.078168660000001,23.1719
-9.02553456794123,-9.0256263736,-9.0255528472,-9.0255475414,-9.025595243,-9.0258574396,-9.0256065186,-9.0255526068,-9.025539980000001,23.1875
-7.972902988993862,-7.972986232399999,-7.972918700400001,-7.9729146462,-7.972963614,-7.9731875624,-7.972974084400001,-7.9729188548000005,-7.972907632,23.2031
-6.920271410046493,-6.9203459324,-6.9202850516000005,-6.920281751199999,-6.9203323214,-6.9205189298,-6.920341483,-6.9202844426,-6.92027444,23.2188
-5.867639831099125,-5.8677059378,-5.8676523428,-5.8676491288,-5.8677017248,-5.867849768,-5.867710314199999,-5.8676522356,-5.867641762,23.2109
-4.815008252151757,-4.8150649872,-4.815017411,-4.8150152853999995,-4.8150694822,-4.8151801436,-4.8150769777999995,-4.8150178850000005,-4.815008612000001,23.1953
-3.762376673204388,-3.7624257284000002,-3.7623847842,-3.7623826986000006,-3.7624393517999994,-3.7625116016,-3.7624456856000004,-3.7623849126,-3.762376958,23.125
-2.70974509425702,-2.7097849624,-2.7097504618,-2.7097492466,-2.709807876,-2.7098422538,-2.7098130818,-2.7097507924,-2.7097458880000005,23.1016
-1.6571135153096517,-1.6571452314,-1.6571176300000001,-1.6571170272000002,-1.6571771648,-1.6571734498,-1.6571816988,-1.6571181152,-1.6571157,23.1484
-0.6044819363622834,-0.6045043218999999,-0.60448309356,-0.60448340912,-0.6045458956800001,-0.60450392434,-0.60454893646,-0.60448383176,-0.6044847832,23.1797
0.4481496425850847,0.44813845541999997,0.44815252648,0.44815210493999996,0.44808812886,0.44816763977999996,0.44808650636,0.4481521810400001,0.44814827300000004,23.1953
1.5007812215324527,1.5007785615999998,1.5007857035999999,1.500784766,1.5007181855999998,1.5008365108000001,1.5007181440000001,1.5007850598,1.5007782040000002,23.1875
2.5534128004798227,2.5534190754,2.5534196662,2.5534181588,2.5533492806,2.5535060184,2.5533506574000002,2.5534192293999998,2.5534098259999998,23.1406
3.606044379427191,3.6060589118,3.606051956,3.6060510746,3.6059794285999995,3.6061746801999996,3.6059821484,3.6060516818,3.606040826,23.1719
4.658675958374559,4.6587000264,4.6586860794,4.6586846126,4.6586102786,4.6588433766,4.6586146474,4.6586847678000005,4.658673985999999,23.1484
5.711307537321927,5.7113413968,5.7113204928,5.711318749,5.711241792399999,5.7115137308,5.7112482270000005,5.711319177,5.711305132000001,23.1641
6.763939116269295,6.7639806672,6.7639533068,6.7639506068,6.7638718788,6.7641821042,6.763879536599999,6.7639522224,6.763936385999999,23.1641
7.816570695216665,7.816621371399999,7.8165872076,7.816583442600001,7.816502667,7.816851335999999,7.816512158,7.816585498399999,7.816569424,23.1719
8.869202274164032,8.869261630199999,8.869220203400001,8.8692162016,8.8691325346,8.8695197706,8.8691439334,8.8692184326,8.869201954,23.1953
9.921833853111401,9.921901927,9.921854365,9.9218502254,9.9217634792,9.9221903196,9.921776215400001,9.9218516032,9.921830174,23.2188
