Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.725306489339193,-9.7254075728,-9.7253265334,-9.725319816,-9.7253653384,-9.725653829,-9.7253794658,-9.725326965799999,-1.9450626880000002,23.0234
-8.672674910391823,-8.6727654142,-8.672691596,-8.672686225000001,-8.6727328596,-8.6729843764,-8.6727449342,-8.672691198599999,-1.734535948,23.0234
-7.620043331444456,-7.6201251143999995,-7.620057642600001,-7.6200534514000005,-7.6201017555999995,-7.6203144497999995,-7.6201130066000005,-7.6200575194,-1.524009344,22.9766
-6.567411752497087,-6.5674851285999996,-6.5674252118,-6.567421249400001,-6.567471554799999,-6.5676458144000005,-6.5674818084,-6.567424947399999,-1.313482834,22.9844
-5.514780173549719,-5.5148447084,-5.5147916509999995,-5.5147883454,-5.514840722,-5.514977249,-5.514849711,-5.5147910756,-1.102956214,23.0078
-4.4621485946023505,-4.4622043206,-4.4621588866,-4.4621557704,-4.4622104856,-4.4623086484000005,-4.462218196199999,-4.4621585504,-0.8924298820000001,23.0
-3.4095170156549814,-3.4095626049999996,-3.4095242919999995,-3.409522283,-3.4095781546,-3.4096383406,-3.4095849945999994,-3.4095240098,-0.681903416,23.0313
-2.3568854367076133,-2.3569221382,-2.3568902971999997,-2.3568886296000002,-2.356947381,-2.3569693448,-2.3569526012,-2.3568900882,-0.471377386,23.0547
-1.3042538577602452,-1.3042823926,-1.3042574596,-1.3042562914,-1.3043169083999997,-1.3043009536,-1.3043207412000002,-1.3042573208000001,-0.26085129399999996,23.0
-0.251622278812877,-0.25163999932000003,-0.25162292325999996,-0.25162251942,-0.25168525882,-0.25163142546,-0.25168761836,-0.25162318008,-0.0503249896,23.0156
0.8010093001344911,0.8010013501,0.8010119265,0.80101170586,0.80094656194,0.80103949592,0.8009455512599999,0.80101183086,0.16020141599999999,23.0469
1.8536408790818593,1.8536423006000002,1.8536459152,1.8536451550000002,1.8535780108,1.8537087916,1.8535783372,1.8536459536,0.37072741800000003,23.0625
2.906272458029229,2.9062831927999997,2.9062801734000003,2.9062788081999997,2.9062084778,2.906378128,2.9062106337999998,2.9062796972,0.581253928,23.0703
3.9589040369765973,3.958923126,3.9589125716,3.9589109064,3.9588385578,3.959046763,3.9588422332,3.9589124300000003,0.791779978,22.9844
5.0115356159239655,5.0115642878,5.011546129600001,5.01154416,5.0114696914,5.011715483,5.011475279799999,5.011546167400001,1.002306626,23.0469
6.064167194871334,6.064205100800001,6.064180458000001,6.064177304,6.0641002196,6.0643850922,6.064107928,6.0641799924,1.2128328019999999,23.0469
7.116798773818702,7.1168462742,7.1168136998,7.1168114906,7.1167309992,7.1170547922,7.116740236200001,7.116815044199999,1.423359448,23.0313
8.16943035276607,8.1694858404,8.1694469182,8.169443212600001,8.169360728400001,8.1697233198,8.1693717332,8.1694460126,1.6338859119999998,23.0547
9.222061931713437,9.2221275008,9.2220806258,9.2220772808,9.2219916818,9.222393145,9.2220048358,9.22208013,1.8444122799999998,23.0781
10.274693510660807,10.274768292000001,10.274714792000001,10.274710989999999,10.274622154,10.275061831999999,10.274637446,10.274713506,2.0549378799999998,23.0469
