Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.58257659632448,-9.5826732222,-9.582595830999999,-9.5825900284,-9.5826346098,-9.582918584800002,-9.5826507832,-9.5825952358,-9.582578488,23.0781
-8.529945017377113,-8.5300323858,-8.5299623256,-8.52995615,-8.5300030546,-8.530248277000002,-8.5300169222,-8.5299605024,-8.52994607,23.1016
-7.477313438429744,-7.4773924231999995,-7.4773283518,-7.477322923000001,-7.477372086400001,-7.4775793128,-7.477384646,-7.4773266625999995,-7.477312996,23.1016
-6.424681859482375,-6.424752933,-6.4246953,-6.4246910116,-6.4247416167999996,-6.424911134,-6.4247528826,-6.424693877400001,-6.424680990000001,23.0547
-5.3720502805350066,-5.372112275399999,-5.372061086,-5.3720576632,-5.3721100938,-5.3722409254,-5.3721198036,-5.3720597282,-5.372048394,23.0391
-4.319418701587638,-4.319472697,-4.3194281926,-4.3194253756,-4.319479955,-4.3195730054000006,-4.3194880842,-4.319427311000001,-4.319418054,23.0703
-3.2667871226402694,-3.2668320162,-3.2667940166,-3.2667918052000005,-3.2668489926,-3.2669034714,-3.2668560218000002,-3.2667935556000005,-3.2667867379999995,23.0859
-2.2141555436929012,-2.2141917632,-2.2141606722000002,-2.214159123,-2.2142180718,-2.2142348536,-2.2142236078,-2.2141605458,-2.214156484,23.0938
-1.161523964745533,-1.1615511938,-1.1615266134,-1.1615257542,-1.1615869086,-1.1615650402,-1.161590866,-1.1615267414,-1.161525506,23.0781
-0.10889238579816496,-0.10890990902000001,-0.10889164942000001,-0.10889150812000001,-0.1089550762,-0.10889525606,-0.10895713993999999,-0.10889187922,-0.1088947884,23.0625
0.9437391931492032,0.9437309683399999,0.9437419496799999,0.943741541,0.9436761279799999,0.94377428092,0.9436750922800001,0.94374151648,0.9437355987999999,23.0703
1.9963707720965713,1.9963721916,1.996376287,1.9963758522,1.9963079428,1.9964440098000003,1.9963086484,1.9963760514,1.9963674239999998,23.0781
3.0490023510439412,3.0490117114000004,3.0490092824,3.049007805,3.0489377460000004,3.0491121710000004,3.0489405908,3.049008445,3.048998276,23.0313
4.101633929991309,4.101652627,4.1016430018,4.1016408068,4.101569248000001,4.1017816556,4.1015730486,4.1016419956000005,4.1016294680000005,23.0469
5.1542655089386775,5.1542936156,5.1542771194,5.1542739864,5.1542000064,5.1544509368,5.1542058196,5.154275365,5.154260841999999,23.0469
6.206897087886046,6.206933601799999,6.2069099979999995,6.2069067746,6.2068294554,6.2071190426000005,6.2068372493999995,6.2069075664,6.2068909979999995,23.0781
7.259528666833414,7.259573567,7.2595442562,7.2595401914,7.2594599516,7.259788582400001,7.259470755799999,7.259541779600001,7.2595234820000005,23.0859
8.312160245780785,8.3122144182,8.312178482,8.3121733232,8.3120903768,8.312457296400002,8.3121032314,8.3121752834,8.312155782000001,23.0391
9.364791824728151,9.3648548408,9.3648120868,9.3648064908,9.364721268,9.3651269412,9.3647360522,9.3648090238,9.364787778,23.0859
10.41742340367552,10.417494626,10.417445454000001,10.417439398,10.417350767999999,10.41779469,10.417367704,10.417441128,10.417413799999999,23.0313
