Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.810224882948951,-9.8103231292,-9.810245085,-9.810238440000001,-9.8102833474,-9.810573721199999,-9.8102979964,-9.8102427438,-9.810225877999999,23.0469
-8.757593304001583,-8.7576828882,-8.757609792999999,-8.7576048218,-8.7576516594,-8.7579032418,-8.757664484200001,-8.7576084892,-8.757595144,23.0391
-7.704961725054215,-7.7050433068,-7.7049774448,-7.7049727536,-7.7050216144000006,-7.705235406599999,-7.7050336461999995,-7.7049762326,-7.704963952000001,23.0625
-6.652330146106846,-6.6524028694,-6.652343901,-6.652339511800001,-6.652389891,-6.6525664742,-6.652400904399999,-6.6523428224,-6.652330594,23.0547
-5.599698567159478,-5.5997634078,-5.599710826399999,-5.599706930799999,-5.5997592266,-5.5998977694,-5.5997694454,-5.599709482000001,-5.599698754,23.0625
-4.5470669882121095,-4.5471229236,-4.5470765742,-4.547073467000001,-4.547128123,-4.5472287328,-4.5471365306000004,-4.547075668800001,-4.547066414000001,23.0781
-3.4944354092647405,-3.4944821872000005,-3.49444231,-3.4944399678,-3.494496972,-3.4945595622,-3.4945040584000004,-3.4944420948,-3.494435244,23.0234
-2.4418038303173724,-2.441841471,-2.4418090216,-2.4418074162,-2.4418658474,-2.4418906476,-2.4418721806,-2.4418092162000002,-2.441804276,23.0703
-1.3891722513700042,-1.3892014289999999,-1.3891749714,-1.3891740234,-1.3892347936000002,-1.3892214392,-1.3892392746,-1.3891754,-1.389173072,23.0938
-0.3365406724226362,-0.33656107672,-0.33654161234,-0.33654130616,-0.3366044597,-0.3365530192,-0.33660704826,-0.33654232258000005,-0.33654389180000005,23.1094
0.716090906524732,0.71608102918,0.7160934424200001,0.7160936746400001,0.71602848804,0.7161180795800001,0.71602734874,0.71609355874,0.716088147,23.1172
1.7687224854721002,1.7687225546,1.7687283593999998,1.7687275533999998,1.7686602671999998,1.7687881807999999,1.7686607528000002,1.7687277462000002,1.768719746,23.1094
2.82135406441947,2.8213624116,2.8213609716,2.8213598348,2.8212899526,2.8214562838,2.8212918393999997,2.8213601428,2.82135054,23.0469
3.8739856433668383,3.8740026998,3.8739947668,3.8739934469999997,3.8739212598000003,3.8741255068000005,3.873925226,3.8739934332,3.8739809199999997,23.0703
4.926617222314206,4.9266426414,4.926627584,4.9266257644,4.9265509888,4.9267938772,4.9265566292,4.9266261836,4.926612282,23.1094
5.9792488012615745,5.979283457199999,5.979261189000001,5.979259014999999,5.979181783,5.9794628242000005,5.979188922800001,5.9792605754000006,5.979243307999999,23.1016
7.031880380208943,7.031923367,7.0318946712,7.031891018,7.0318114650000005,7.032131688799999,7.031820827199999,7.031892323799999,7.031874224,23.0859
8.084511959156313,8.0845643852,8.0845292308,8.0845251488,8.0844428372,8.084801668,8.084454515200001,8.0845263766,8.084507438,23.1172
9.137143538103679,9.1372047316,9.137162619000001,9.1371582334,9.137073614,9.137470745600002,9.1370881474,9.137160435399998,9.137139202,23.0391
10.189775117051049,10.189845278,10.189795878,10.189791163999999,10.189703118,10.190139198,10.189719858,10.189793438,10.18976512,23.0234
