Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-10.009793655093487,-10.009893508000001,-10.009813696000002,-10.009806594,-10.009852778,-10.010150456,-10.009867022,-10.009812345999999,-10.009795279999999,23.1484
-8.957162076146119,-8.957252931600001,-8.9571799852,-8.957173789,-8.9572211686,-8.9574811562,-8.9572343036,-8.957178983199999,-8.957166286,23.1797
-7.904530497198752,-7.9046141096,-7.9045466202000005,-7.904541163800001,-7.9045912596,-7.9048126458,-7.904602397,-7.9045461044,-7.904534205999999,23.1641
-6.851898918251383,-6.851973112,-6.851912774999999,-6.851907960600001,-6.8519589876,-6.852143388,-6.851969529,-6.8519118614,-6.851900616,23.1406
-5.799267339304015,-5.7993327536,-5.7992788716,-5.7992749234000005,-5.799327889599999,-5.7994732986,-5.799337662800001,-5.7992779666,-5.7992670319999995,23.1797
-4.7466357603566465,-4.7466930960000004,-4.746646241600001,-4.7466425974,-4.746697685199999,-4.74680578,-4.7467060632,-4.7466458326000005,-4.746636298,23.2031
-3.694004181409277,-3.6940522244,-3.6940116057999997,-3.694009169,-3.6940655843999997,-3.6941352397999996,-3.6940726915999997,-3.6940110408,-3.6940039220000003,23.1797
-2.641372602461909,-2.6414125902,-2.6413788268,-2.6413770442,-2.641435292,-2.6414669562000004,-2.6414406379999997,-2.6413780102000004,-2.641373626,23.1719
-1.5887410235145407,-1.5887715048,-1.5887444514,-1.5887434972,-1.5888040254,-1.588797844,-1.5888081332000001,-1.5887444567999998,-1.588742452,23.1797
-0.5361094445671727,-0.5361308180400001,-0.5361102021599999,-0.53611029704,-0.53617263556,-0.53612847562,-0.5361758777200001,-0.5361106375,-0.5361115618,23.1953
0.5165221343801955,0.51651125264,0.51652479694,0.5165242956399999,0.51646004366,0.5165425679200001,0.5164584079799999,0.51652428582,0.5165200113999999,23.2031
1.5691537133275637,1.5691523148000002,1.5691587946,1.5691579019999997,1.5690910444000001,1.5692121746,1.5690910358,1.5691582685999999,1.5691508079999998,23.1797
2.6217852922749336,2.621791981,2.621791711,2.6217905006,2.6217212927999998,2.6218802400000003,2.621722723,2.621790896,2.6217817479999996,23.1875
3.6744168712223018,3.6744324244,3.6744253891999996,3.6744236206,3.6743524498000006,3.6745496373999997,3.6743554325999996,3.674424426,3.674413392,23.1406
4.7270484501696695,4.7270735863999995,4.727058900399999,4.727057143800001,4.7269830786,4.727218837000001,4.7269877176,4.727058003,4.727044286,23.1328
5.779680029117038,5.7797134814,5.7796932556,5.7796898256,5.7796134714,5.779887161,5.779620105199999,5.779691206,5.779675866,23.1719
6.832311608064406,6.8323545112,6.8323261662,6.832322661599999,6.832244126999999,6.8325565088,6.8322524752,6.832324923,6.83230895,23.1953
7.884943187011776,7.8849940602,7.8849593406,7.8849552036,7.884873906199999,7.885225382799999,7.8848840419999995,7.884957462800001,7.884939884,23.1641
8.937574765959143,8.9376351486,8.9375936102,8.937588973,8.9375052844,8.9378941344,8.9375171212,8.9375911942,8.937572278,23.1641
9.990206344906513,9.990274941,9.9902260058,9.9902217376,9.9901355032,9.9905626534,9.9901489404,9.9902239066,9.990198396,23.1719
