Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.561846852861505,-9.5619428396,-9.561866377800001,-9.5618603998,-9.5619062254,-9.5621885278,-9.561919104000001,-9.561865709,-9.56185086,23.1953
-8.509215273914137,-8.509301748,-8.5092311736,-8.509227065800001,-8.5092737028,-8.50951813,-8.5092860162,-8.5092306952,-8.509217490000001,23.1797
-7.456583694966768,-7.456663073,-7.456598743000001,-7.456594455400001,-7.456643976800001,-7.45684973,-7.4566547068,-7.456597679200001,-7.4565869760000005,23.1563
-6.403952116019399,-6.4040226998000005,-6.4039651352,-6.4039611458,-6.404012633599999,-6.4041805016,-6.4040226946,-6.403964327400001,-6.4039521299999995,23.1953
-5.351320537072031,-5.351382989199999,-5.351331451,-5.3513286538,-5.3513820434,-5.351511261000001,-5.351390655600001,-5.351331223600001,-5.3513206019999995,23.1797
-4.298688958124663,-4.2987414906,-4.2986975972,-4.2986954982,-4.2987507774,-4.298841986,-4.2987583412,-4.2986969986000005,-4.298688934,23.2109
-3.2460573791772935,-3.2461017183999994,-3.2460641094,-3.2460622088000006,-3.2461192514000006,-3.2461728037999995,-3.2461261706,-3.2460631238,-3.246057866,23.1563
-2.1934258002299254,-2.1934611168,-2.1934304254,-2.1934291864000004,-2.1934881920000002,-2.1935043717999996,-2.193493619,-2.1934303356,-2.1934270380000003,23.1641
-1.1407942212825575,-1.1408208702,-1.1407958360000001,-1.1407957106000002,-1.1408567606,-1.1408344862,-1.1408607306,-1.1407964756,-1.14079576,23.1563
-0.08816264233518933,-0.08818008051600001,-0.0881628405,-0.08816292222399999,-0.088226273156,-0.088165356412,-0.088228495536,-0.08816304760600001,-0.08816548462000001,23.1953
0.9644689366121788,0.9644619081,0.9644722728399999,0.96447170302,0.96440656834,0.96450506178,0.9644053771200001,0.9644719166,0.964466195,23.1719
2.017100515559547,2.017102507,2.0171067916000003,2.0171055582,2.0170377663999997,2.0171751776,2.017038204,2.0171059637999997,2.017097852,23.1875
3.069732094506917,3.0697422435999995,3.0697395384000004,3.0697383226,3.0696678558,3.0698432516000005,3.069669578,3.0697386991999998,3.069728224,23.1875
4.122363673454285,4.1223840240000005,4.1223731492,4.1223710162,4.1222989628,4.1225127272,4.122302144000001,4.1223723784,4.122360158,23.1953
5.174995252401653,5.1750231332,5.1750062388,5.1750037456,5.1749285766,5.1751811388,5.1749342648,5.175004748999999,5.174990588,23.2031
6.2276268313490215,6.2276638347999995,6.2276400899999995,6.2276367946,6.227559397,6.227849966199999,6.2275669072,6.227638535800001,6.227622334,23.1797
7.28025841029639,7.2803038002000005,7.28027286,7.280269499799999,7.2801893062000005,7.2805192328,7.280198175800001,7.2802705268,7.280254046,23.1797
8.332889989243759,8.3329449736,8.3329079324,8.3329036512,8.3328210416,8.333189046,8.332831799600001,8.332904676000002,8.33288698,23.1875
9.385521568191125,9.3855859538,9.3855418186,9.385536324,9.3854518178,9.3858584636,9.3854646146,9.3855386558,9.385517932,23.2031
10.438153147138495,10.43822586,10.438174876,10.438169456,10.43808127,10.438527342,10.438096992,10.438171862,10.4381452,23.2188
