Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.767971078905658,-9.768074676000001,-9.767987535600001,-9.7680218195,-9.767971966400001,-9.768335043,-9.767991003499999,-9.768040104299999,-9.767999347,22.4297
-8.71533949995829,-8.715435067,-8.715354903400002,-8.7153854327,-8.7153422099,-8.7156663139,-8.7153588095,-8.7154033856,-8.715369456,22.4609
-7.662707921010923,-7.6627931842,-7.662721190700001,-7.662749000199999,-7.662710197900001,-7.6629960418,-7.662725309700001,-7.662764568,-7.66273329,22.4688
-6.610076342063554,-6.6101523364000006,-6.610088055,-6.6101120747,-6.6100785222,-6.610326042800001,-6.610092075699999,-6.6101259667,-6.6100981370000005,22.4844
-5.557444763116186,-5.5575126041,-5.557455432899999,-5.557476974299999,-5.5574479501,-5.557657412499999,-5.5574597876,-5.5574888912,-5.557464674,22.4688
-4.5048131841688175,-4.5048711170999995,-4.5048221566,-4.5048405651,-4.5048160871,-4.5049875502,-4.504825995600001,-4.50485114,-4.504829965000001,22.4688
-3.452181605221448,-3.4522311094,-3.4521898550000003,-3.4522050252,-3.4521862197,-3.4523188458999994,-3.4521936077000004,-3.4522137369999997,-3.45219771,22.4922
-2.39955002627408,-2.3995898716,-2.3995565170999997,-2.3995691580000003,-2.3995548804,-2.3996493952,-2.3995600507,-2.399575491,-2.3995648569999997,22.4766
-1.3469184473267117,-1.3469481015,-1.3469231384999998,-1.3469321673999999,-1.3469228491999998,-1.3469785253999997,-1.3469261513,-1.3469368847999998,-1.346931291,22.4453
-0.2942868683793437,-0.29430741929,-0.29428993228000005,-0.29429645268,-0.29429176221000003,-0.29430950369000003,-0.29429332421000004,-0.29429912646000006,-0.29429994839999996,22.4297
0.7583447105680244,0.7583347641199999,0.7583443759999999,0.75834124269,0.7583406317999999,0.7583611989700001,0.75834128891,0.7583402770600001,0.7583330576000001,22.4844
1.8109762895153927,1.8109748292,1.8109764871999998,1.8109763119,1.8109710329,1.8110298149,1.8109737708000002,1.8109772539999998,1.8109645879999998,22.4766
2.8636078684627626,2.863616706,2.8636105479999996,2.8636131799,2.8636023856,2.8637000129,2.8636074644000002,2.8636160525,2.863597749,22.4844
3.9162394474101307,3.916257082,3.9162426799,3.9162483425000003,3.9162326276,3.9163688485,3.9162405765,3.9162529077000006,3.9162301850000003,22.4531
4.968871026357498,4.9688980485,4.9688758055,4.9688847691,4.9688638709,4.969038704700001,4.9688738236,4.9688919954,4.968862821,22.4531
6.021502605304867,6.0215397569,6.0215095077,6.021520537000001,6.0214951969,6.021708758599999,6.0215074643,6.021530079899999,6.021496635,22.4922
7.074134184252235,7.0741795315,7.074141301200001,7.0741558136,7.074125018700001,7.074377495399999,7.0741396554,7.0741674932,7.074129544000001,22.4609
8.126765763199606,8.1268205642,8.1267745602,8.1267923381,8.1267563445,8.127047004,8.1267733843,8.126805325000001,8.126762148000001,22.4766
9.179397342146972,9.179461948600002,9.1794072348,9.1794290979,9.1793870613,9.1797168878,9.1794066829,9.1794429615,9.179394914,22.4766
10.232028921094342,10.232103180000003,10.232040618,10.232065480000001,10.232017996000002,10.232386746999998,10.232040045000003,10.232082082000002,10.232024549999998,22.4766
