Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.716479160162732,-9.7165774948,-9.7164985602,-9.7164927634,-9.7165384024,-9.7168266138,-9.7165516702,-9.7164984778,-9.716484442,23.1484
-8.663847581215364,-8.6639376468,-8.6638655966,-8.663860398999999,-8.6639089474,-8.664157708,-8.663920103,-8.6638650034,-8.663855298,23.1172
-7.611216002267996,-7.611297302800001,-7.611231080799999,-7.6112268932,-7.6112768935999995,-7.6114878718,-7.6112874108,-7.6112307022,-7.611221884,23.0859
-6.558584423320627,-6.558656103000001,-6.5585972268,-6.558593702,-6.558645253,-6.558818343199999,-6.5586546892,-6.5585969732,-6.55858767,23.125
-5.505952844373259,-5.506016469,-5.5059646352,-5.5059618438,-5.506014724,-5.5061501036,-5.506023514400001,-5.5059642552,-5.505954128000001,23.1094
-4.453321265425891,-4.4533752398,-4.4533300374,-4.4533279062,-4.453382942,-4.4534796882,-4.453390327399999,-4.4533298081999995,-4.453321792000001,23.1016
-3.400689686478522,-3.400735236,-3.4006966638,-3.4006953278,-3.400752018,-3.4008116609999997,-3.4007582478000002,-3.4006969268000002,-3.400691408,23.1172
-2.3480581075311537,-2.3480946726000003,-2.3480632814,-2.3480615471999995,-2.3481211028,-2.3481421588,-2.3481260622,-2.3480630810000003,-2.3480593360000004,23.1016
-1.2954265285837858,-1.2954546308,-1.2954301685999998,-1.295429224,-1.2954903709999999,-1.2954734884,-1.2954943952,-1.295429951,-1.29542934,23.0781
-0.24279494963641768,-0.24281387672,-0.24279559998,-0.24279528898000002,-0.24285851162,-0.24280371589999997,-0.24286098554,-0.24279642682,-0.24279840619999998,23.1016
0.8098366293109505,0.80982907068,0.80984045352,0.8098401599,0.80977509398,0.8098678860399999,0.8097731244,0.80984026946,0.8098346182,23.1328
1.8624682082583186,1.8624691944,1.8624732295999997,1.8624726165999999,1.862404885,1.8625366843999998,1.8624052218,1.862472558,1.8624646720000002,23.1172
2.9150997872056887,2.9151100658000004,2.9151068988000004,2.9151059498,2.9150361067999997,2.9152060699999995,2.915037908,2.9151062606,2.9150958879999997,23.1016
3.967731366153057,3.9677499258,3.9677399446,3.9677382168,3.9676659128,3.9678740974,3.9676700846000004,3.9677390457999997,3.967727732,23.1172
5.020362945100425,5.020390821,5.0203733563999995,5.020371811,5.020297016599999,5.0205436722000005,5.0203025104,5.020373145600001,5.020359826,23.1016
6.072994524047793,6.0730322346,6.0730079132,6.073005844,6.072928802,6.073213442,6.0729354658000005,6.0730071194,6.072992085999999,23.1016
7.125626102995161,7.125672455199999,7.125640572,7.12563825,7.1255583776,7.1258820394,7.125567338,7.125639764399999,7.125623447999999,23.1563
8.178257681942531,8.1783127462,8.178274956200001,8.1782715272,8.1781889298,8.1785516926,8.1781995406,8.1782730082,8.178256950000002,23.1328
9.230889260889898,9.2309531458,9.230908596199999,9.230904636,9.230818889,9.2312200924,9.2308325142,9.230906617,9.230888276,23.1172
10.283520839837268,10.283594266,10.283542529999998,10.283537216,10.283450142,10.28388967,10.283465082,10.283540572,10.283515359999999,23.0781
