Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,tmp119
-9.858330058110042,-9.8584340846,-9.8583458546,-9.8583826514,-9.8583323512,-9.8586974479,-9.858352564499999,-9.8583954596,22.3047
-8.805698479162674,-8.805794720200002,-8.8057130452,-8.805747103600002,-8.805702096000001,-8.8060287593,-8.8057199505,-8.8057591201,22.2891
-7.7530669002153045,-7.753152654099999,-7.7530788087,-7.7531094115000005,-7.753069631000002,-7.753357815199999,-7.7530857707,-7.753120791600001,22.2969
-6.7004353212679355,-6.7005116746,-6.700446426499999,-6.7004730513,-6.700438135399999,-6.700688874999999,-6.700452278400002,-6.700483829499999,22.2969
-5.647803742320567,-5.6478721344,-5.6478137051,-5.6478380605,-5.647807664799999,-5.6480200846,-5.647819847899999,-5.6478468994,22.2891
-4.595172163373199,-4.5952304009,-4.595180215,-4.595201444200001,-4.5951754373,-4.5953500612000004,-4.5951860382,-4.595208544299999,22.3125
-3.54254058442583,-3.5425901277,-3.5425478519999998,-3.5425659473,-3.5425451796000007,-3.54268171,-3.5425532228000005,-3.5425720183999996,22.2891
-2.489909005478462,-2.4899482758,-2.4899143328,-2.4899289461,-2.4899133786,-2.4900114900999997,-2.4899191238,-2.4899339325,22.3203
-1.4372774265310941,-1.4373070186999999,-1.4372809143,-1.4372924867999999,-1.4372821203000001,-1.4373419101999998,-1.4372856666,-1.4372961562,22.2969
-0.384645847583726,-0.38466655072,-0.38464817807000007,-0.38465672767000003,-0.38465114085,-0.38467277949,-0.38465256772,-0.38465886490999995,22.3203
0.6679857313636421,0.6679759464000001,0.6679862355999999,0.6679808433500001,0.6679814257500001,0.6679980816699999,0.6679822378000002,0.6679795412699999,22.3438
1.7206173103110103,1.7206160539,1.7206184932,1.7206163717999998,1.720611529,1.7206669535000003,1.7206149738000003,1.7206162921,22.3516
2.7732488892583804,2.7732578678000004,2.7732520755,2.7732532409,2.7732432604,2.7733370497999994,2.7732488893000005,2.7732543693999996,22.3203
3.8258804682057486,3.8258995059,3.8258853971,3.8258896219,3.8258744716,3.826006682,3.8258828487999996,3.8258919808000003,22.3359
4.878512047153117,4.878540086999999,4.8785178744,4.8785250965,4.8785046340000005,4.8786753735,4.8785158108,4.8785285761,22.3203
5.931143626100485,5.9311811707,5.9311506955999995,5.931161008399999,5.931135750600001,5.931345056999999,5.931149168099999,5.9311666857,22.3281
6.983775205047853,6.9838212945,6.983783065899999,6.9837967139,6.9837656811,6.9840129832999995,6.983781790899999,6.983802901599999,22.3047
8.036406783995222,8.0364631526,8.0364167535,8.0364342332,8.036397432000001,8.0366832092,8.0364161633,8.0364417281,22.3594
9.089038362942588,9.0891033948,9.0890496609,9.089069438600001,9.089027336200001,9.08935252,9.0890487202,9.0890787271,22.3438
10.141669941889958,10.141744473000001,10.141682483,10.141705904999998,10.141658436999998,10.142021707000001,10.141682652999998,10.141716895999998,22.3438
