Set_Voltage (V),3458B,3458P,3458H,3458A_MY45,3458A_US28,3458A_MY59,3458A_2823,34470A,tmp119
-9.664939907007957,-9.6650367682,-9.6649592608,-9.6649538584,-9.6649999322,-9.6652846248,-9.6650117702,-9.6649587896,-9.664944058,23.2344
-8.612308328060589,-8.612396372,-8.6123254654,-8.6123209634,-8.6123685624,-8.6126157542,-8.6123793968,-8.6123248334,-8.612312722,23.2344
-7.559676749113221,-7.5597564504,-7.5596918574,-7.559687698000001,-7.5597367066,-7.5599464236,-7.5597472996,-7.5596912128,-7.559679678,23.2344
-6.507045170165852,-6.5071158136000005,-6.507057766200001,-6.5070540834,-6.5071051806,-6.5072767702,-6.5071152288,-6.5070569698,-6.50704674,23.2266
-5.454413591218484,-5.4544767188000005,-5.4544248234,-5.4544221718,-5.454475071000001,-5.4546086994,-5.454483559,-5.4544243976,-5.4544145020000006,23.2344
-4.4017820122711155,-4.4018357506,-4.4017907,-4.4017885032,-4.4018434742000005,-4.4019390692,-4.4018508958,-4.4017908792,-4.40178226,23.2344
-3.349150433323746,-3.3491953544,-3.3491570012,-3.3491554218,-3.3492121580000003,-3.3492695496,-3.3492180515999994,-3.349156701,-3.349150704,23.2422
-2.296518854376378,-2.2965556,-2.2965242838,-2.2965230006,-2.2965820014,-2.29660131,-2.2965867508000004,-2.296523714,-2.29652066,23.2344
-1.2438872754290098,-1.243914356,-1.2438896008,-1.2438886184,-1.2439498414,-1.2439311678,-1.243954135,-1.2438892261999999,-1.243888824,23.1953
-0.19125569648164176,-0.19127396542,-0.19125564152,-0.19125592183999998,-0.19131911796,-0.19126238433999998,-0.19132155118,-0.1912570221,-0.1912583384,23.2266
0.8613758824657264,0.86136773,0.8613790588400001,0.8613786263800001,0.86131360556,0.86140835962,0.8613123097600001,0.86137903156,0.8613733875999999,23.2188
1.9140074614130946,1.914008575,1.9140134015999997,1.9140121556,1.9139449334,1.9140778152000002,1.9139448378,1.9140125647999997,1.914004648,23.2188
2.9666390403604646,2.9666484818,2.9666462072,2.9666450298000004,2.9665753857999997,2.9667463284,2.9665768241999997,2.9666453558,2.9666365839999997,23.2188
4.019270619307832,4.019290066,4.0192796306,4.0192785408,4.019206155999999,4.019415946600001,4.0192091178,4.019279128,4.019268428,23.1797
5.0719021982552,5.0719294244,5.0719129602,5.071910722,5.071835988399999,5.072084841000001,5.071841218,5.0719115542,5.0718988199999995,23.2109
6.1245337772025685,6.124570457,6.124547183200001,6.1245444256,6.1244673696,6.1247542006,6.1244742852,6.1245455924,6.124530388,23.2266
7.177165356149937,7.177209991599999,7.177180226000001,7.1771761419999995,7.177096995199999,7.1774225305999995,7.1771055948,7.1771781088,7.177161976000001,23.2031
8.229796935097307,8.2298514436,8.2298146654,8.2298106664,8.229728769200001,8.2300924194,8.229739069,8.229811872600001,8.229794476,23.1875
9.282428514044673,9.2824922916,9.28244859,9.2824437896,9.2823592916,9.282761773199999,9.2823717552,9.282445309,9.28242596,23.2188
10.335060092992043,10.335132218000002,10.335081422000002,10.335076262,10.33498903,10.335430378,10.335003514,10.335078342,10.335054199999998,23.2188
